frame,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
73,351.78,129.71,410.36,190.89,296.26,197.28,502.49,238.63,218.69,248.89,571.96,281.92,122.12,297.06,393.78,361.86,321.99,363.81,-1,-1,-1,-1,-1,-1,-1,-1
74,351.88,129.59,410.26,190.4,295.93,196.99,503.38,238.39,218.38,249.02,572.63,285.98,123.45,298.39,393.26,362.96,321.08,365.06,-1,-1,-1,-1,-1,-1,-1,-1
75,352.03,129.61,411.07,190.49,296.27,196.55,505.16,239.71,221.67,248.84,574.47,287.72,131.09,296.86,392.88,362.35,319.93,364.23,-1,-1,-1,-1,-1,-1,-1,-1
76,352.46,129.44,411.11,190.8,296.21,195.52,504.02,240.62,222.79,248.04,575.14,288.4,133.99,299.35,392.62,362.31,319.37,363.74,-1,-1,-1,-1,-1,-1,-1,-1
77,353.26,128.96,411.0,190.8,296.47,195.45,501.52,242.6,224.83,249.47,572.92,291.36,135.22,300.92,392.83,361.25,319.47,362.73,-1,-1,-1,-1,-1,-1,-1,-1
78,352.87,129.66,409.2,191.37,296.85,195.88,490.25,241.64,221.8,251.12,559.1,289.82,137.05,305.65,394.24,369.92,319.55,371.76,-1,-1,-1,-1,-1,-1,-1,-1
79,353.09,129.45,409.05,191.33,297.2,195.44,486.91,243.15,226.37,250.52,554.21,297.11,143.97,306.92,392.78,367.22,318.16,368.92,-1,-1,-1,-1,-1,-1,-1,-1
80,353.48,128.9,409.6,190.94,297.36,195.43,484.11,244.58,228.42,251.93,547.07,303.58,150.0,310.98,393.72,368.44,319.19,370.31,-1,-1,-1,-1,-1,-1,-1,-1
81,353.97,128.8,409.05,191.57,297.57,194.13,477.51,250.14,232.28,252.55,538.61,312.71,154.07,317.88,389.82,364.61,315.9,365.53,-1,-1,-1,-1,-1,-1,-1,-1
82,354.56,129.07,409.47,192.02,296.0,193.64,476.41,253.04,236.93,253.45,540.16,321.46,168.25,317.35,389.06,364.82,314.79,365.77,-1,-1,-1,-1,-1,-1,-1,-1
